filename,status,total_pages,text_pages,empty_pages,first_text_page,preview,error
"Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf",acceptable,546,538,8,4,Москва 2017,
Дэвид К. Хилл.  dōTERRA. Руководство по химии эфирных масел.pdf,good,79,78,1,1,ЭФИРНЫЕ МАСЛА dōTERRA ® . РУКОВОДСТВО ПО ХИМИИ. 2-е издание Д-р Дэвид К. Хилл,
"Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf",good,349,348,1,1,В. В. Николаевский ------------------------------------- --------------- АРОМАТЕРАПИЯ Справочник,
